         589089 function calls (567899 primitive calls) in 1.436 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      235    0.000    0.000    0.000    0.000 socket.py:88(<lambda>)
    31/16    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
      236    0.000    0.000    0.000    0.000 socket.py:93(<lambda>)
       25    0.000    0.000    0.000    0.000 enum.py:164(__prepare__)
      234    0.000    0.000    0.000    0.000 socket.py:83(<lambda>)
        1    0.000    0.000    0.000    0.000 default.py:247(AsyncHTTPTransport)
        1    0.000    0.000    0.000    0.000 quoprimime.py:55(<listcomp>)
        1    0.000    0.000    0.000    0.000 ssl.py:1298(_real_close)
      731    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
       25    0.000    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:1171(create_module)
       91    0.000    0.000    0.000    0.000 os.py:674(__getitem__)
        1    0.000    0.000    0.000    0.000 format_helpers.py:1(<module>)
       13    0.000    0.000    0.005    0.000 enum.py:528(_convert_)
        1    0.000    0.000    0.000    0.000 {method '_wrap_socket' of '_ssl._SSLContext' objects}
       80    0.000    0.000    0.000    0.000 ipaddress.py:1201(_parse_octet)
        1    0.000    0.000    0.176    0.176 _client.py:1(<module>)
       47    0.000    0.000    0.000    0.000 _util.py:83(validate)
        1    0.000    0.000    0.029    0.029 dammit.py:2310(EntitySubstitution)
        1    0.000    0.000    0.000    0.000 _subprocesses.py:9(Process)
